Capacite_accueil,NbChambres,frais_menage,Latitude,Longitude,Caution,Prix_Estime
2.0,1.0,0.0,44.8315066821,-0.5702303124,0.0,47.68389715063495
2.0,1.0,90.0,44.8487716228,-0.5853804068,800.0,101.82863876868396
2.0,1.0,0.0,44.841094692,-0.5807864625,0.0,50.56134532390115
6.0,2.0,30.0,44.8388313919,-0.5871052871,200.0,114.43658192146268
2.0,1.0,0.0,44.851666007,-0.5743438544,200.0,56.58615352163815
2.0,1.0,0.0,44.817166066,-0.5756622003,0.0,46.44626263452483
4.0,1.0,0.0,44.8403608275,-0.5711390608,0.0,65.31342585711445
2.0,1.0,0.0,44.8332618559,-0.5599330833,0.0,46.44360523912201
6.0,2.0,0.0,44.8334717896,-0.5914353093,1000.0,126.94500402043468
2.0,1.0,0.0,44.8408556026,-0.5484676774,0.0,45.85794794866797
4.0,2.0,0.0,44.8394595777,-0.5683416341,0.0,80.87919465764753
4.0,2.0,0.0,44.8284182851,-0.5382718796,0.0,74.97730530497574
4.0,2.0,40.0,44.8453386476,-0.5714195503,0.0,94.44710933490296
5.0,3.0,0.0,44.8210659447,-0.5745319535,600.0,119.79576780151729
4.0,1.0,0.0,44.8362817612,-0.5724508868,0.0,64.92769253806637
4.0,2.0,30.0,44.8594314685,-0.5585574704,300.0,99.6999090559948
2.0,1.0,0.0,44.8391763725,-0.5731155342,0.0,49.182444529727945
2.0,1.0,25.0,44.8410856493,-0.5817024401,500.0,72.03820608734804
2.0,1.0,0.0,44.8390248452,-0.5596259273,0.0,47.2119874149239
4.0,2.0,30.0,44.8328854483,-0.5641126081,300.0,96.75873722720644
2.0,1.0,25.0,44.83992557,-0.5800533686,250.0,64.80532664768543
4.0,2.0,0.0,44.8509137528,-0.5788625634,0.0,84.01474176880492
7.0,3.0,60.0,44.8257522951,-0.5732813749,700.0,157.6989983081594
8.0,4.0,0.0,44.8385483483,-0.5971560082,0.0,149.60717706173727
6.0,2.0,50.0,44.8308015145,-0.5705841332,1000.0,138.92323930885868
2.0,1.0,20.0,44.8376290556,-0.5714790871,400.0,65.80440778351931
2.0,1.0,20.0,44.835739447,-0.5716191954,0.0,54.62855648304776
3.0,1.0,20.0,44.838340706,-0.5709620834,300.0,71.2224280913315
3.0,1.0,8.0,44.8251820657,-0.5765264046,150.0,62.38380621324359
3.0,1.0,20.0,44.8452049461,-0.5809431613,0.0,65.43544726599521
2.0,1.0,10.0,44.8412259932,-0.5600299562,300.0,58.85151135911019
2.0,1.0,0.0,44.84971441,-0.5727018067,0.0,50.6088602114196
3.0,1.0,25.0,44.8499765757,-0.5833120032,300.0,76.184624497203
2.0,1.0,0.0,44.8534825462,-0.5704731812,0.0,50.81827604526916
4.0,0.0,0.0,44.8360521336,-0.5693894624,0.0,48.35590052082625
3.0,2.0,0.0,44.838695156,-0.5975274782,300.0,85.0608373508312
2.0,1.0,30.0,44.8372133027,-0.5771952762,500.0,72.37760960895412
4.0,2.0,0.0,44.8253702852,-0.5570647266,0.0,77.26278338899738
8.0,3.0,60.0,44.8389436037,-0.5772655777,2000.0,203.7810168888418
2.0,1.0,0.0,44.8319524336,-0.5723936307,100.0,50.79173603469917
2.0,1.0,5.0,44.8467143721,-0.5985266778,0.0,55.45390327438054
2.0,1.0,0.0,44.8437886058,-0.5926275035,0.0,52.652160736265614
2.0,1.0,5.0,44.8394613618,-0.5736770698,200.0,56.305330083111585
2.0,1.0,5.0,44.8210581228,-0.5763722571,0.0,48.63451701899794
6.0,2.0,75.0,44.8459400797,-0.5769143412,400.0,133.2622772588211
4.0,1.0,30.0,44.8252371885,-0.5592206652,300.0,78.87619694840942
2.0,1.0,0.0,44.8155097964,-0.5543217651,150.0,47.22783911521765
4.0,2.0,50.0,44.8420973178,-0.5829730299,400.0,109.66243559431769
4.0,1.0,50.0,44.8420715007,-0.5798782726,400.0,93.11457105496083
2.0,0.0,0.0,44.852989805,-0.5727272017,0.0,34.97739501608885
4.0,1.0,40.0,44.8330874915,-0.5644904912,400.0,86.55067821672583
